model,data_num,iter,side_effect,test_fold,auc,tn,fp,fn,tp,cutoff point
Adaboost,400,7,side_effect_4,4,0.6906063366737524,115,152,10,64,0.47
Adaboost,400,8,side_effect_4,0,0.747259800533228,175,72,22,60,0.49
Adaboost,400,8,side_effect_4,1,0.6615089980544747,139,118,20,44,0.48
Adaboost,400,8,side_effect_4,2,0.7352528454862013,220,51,29,42,0.49
Adaboost,400,8,side_effect_4,3,0.74174538911381,172,75,26,64,0.49
Adaboost,400,8,side_effect_4,4,0.6696153846153845,198,62,32,38,0.49
Adaboost,400,9,side_effect_4,0,0.651938775510204,174,71,39,41,0.49
Adaboost,400,9,side_effect_4,1,0.7676308539944904,205,70,22,44,0.49
Adaboost,400,9,side_effect_4,2,0.6621062992125982,181,73,37,43,0.49
Adaboost,400,9,side_effect_4,3,0.6989915966386555,166,89,23,47,0.49
Adaboost,400,9,side_effect_4,4,0.6962377397160004,188,65,36,45,0.49
MLP,400,0,side_effect_4,0,0.614154752810215,117,121,22,55,0.04
MLP,400,0,side_effect_4,1,0.6472955379334833,166,72,27,44,0.16
MLP,400,0,side_effect_4,2,0.667991704113377,138,125,16,50,0.08
MLP,400,0,side_effect_4,3,0.6796415441176471,146,110,26,59,0.06
MLP,400,0,side_effect_4,4,0.7449298668810864,231,56,33,45,0.24
MLP,400,1,side_effect_4,0,0.688508275717578,219,39,35,39,0.53
MLP,400,1,side_effect_4,1,0.723898597095742,190,49,37,48,0.12
MLP,400,1,side_effect_4,2,0.692835889219501,166,91,24,44,0.17
MLP,400,1,side_effect_4,3,0.6772151898734178,158,84,29,50,0.2
MLP,400,1,side_effect_4,4,0.7139761646803899,177,109,18,53,0.1
MLP,400,2,side_effect_4,0,0.6885290441775797,130,109,17,60,0.09
MLP,400,2,side_effect_4,1,0.6688688212927756,213,50,40,40,0.2
MLP,400,2,side_effect_4,2,0.6852060982495765,210,43,33,37,0.2
MLP,400,2,side_effect_4,3,0.6236095965103599,139,123,22,48,0.1
MLP,400,2,side_effect_4,4,0.7083490566037736,189,76,33,47,0.35
MLP,400,3,side_effect_4,0,0.6521792661905935,162,100,22,40,0.15
MLP,400,3,side_effect_4,1,0.724524292475611,158,80,26,61,0.02
MLP,400,3,side_effect_4,2,0.7144526477930631,172,109,18,49,0.07
MLP,400,3,side_effect_4,3,0.6785915492957746,192,58,32,39,0.24
MLP,400,3,side_effect_4,4,0.626604692341744,109,142,20,70,0.06
MLP,400,4,side_effect_4,0,0.6183522624842257,145,113,27,59,0.12
