model,data_num,iter,side_effect,test_fold,auc,,acc,,precision,,recall,,tn,fp,fn,tp,cutoff point
LR,400,5,side_effect_1,0,0.686065173,,0.807228916,,0.377358491,,0.392156863,,248,33,31,20,0.41
LR,400,5,side_effect_1,1,0.622937063,,0.605504587,,0.234482759,,0.653846154,,164,111,18,34,0.2
LR,400,5,side_effect_1,2,0.731809701,,0.736842105,,0.408163265,,0.597014925,,198,58,27,40,0.24
LR,400,5,side_effect_1,3,0.757860351,,0.718654434,,0.446280992,,0.683544304,,181,67,25,54,0.25
LR,400,5,side_effect_1,4,0.834884438,,0.782857143,,0.396039604,,0.727272727,,234,61,15,40,0.21
LR,400,6,side_effect_1,0,0.712248996,,0.715210356,,0.365384615,,0.633333333,,183,66,22,38,0.18
LR,400,6,side_effect_1,1,0.734676932,,0.672839506,,0.266129032,,0.6875,,185,91,15,33,0.17
LR,400,6,side_effect_1,2,0.719981238,,0.737463127,,0.323809524,,0.653846154,,216,71,18,34,0.21
LR,400,6,side_effect_1,3,0.721658467,,0.551020408,,0.304761905,,0.888888889,,125,146,8,64,0.06
LR,400,6,side_effect_1,4,0.806372549,,0.715116279,,0.405797101,,0.777777778,,190,82,16,56,0.17
LR,400,7,side_effect_1,0,0.753406879,,0.72303207,,0.383333333,,0.686567164,,202,74,21,46,0.22
LR,400,7,side_effect_1,1,0.742618448,,0.723076923,,0.4,,0.647058824,,191,66,24,44,0.2
LR,400,7,side_effect_1,2,0.71225336,,0.76635514,,0.350649351,,0.519230769,,219,50,25,27,0.31
LR,400,7,side_effect_1,3,0.71179302,,0.725075529,,0.32038835,,0.611111111,,207,70,21,33,0.21
LR,400,7,side_effect_1,4,0.764952841,,0.693215339,,0.352517986,,0.777777778,,186,90,14,49,0.13
LR,400,8,side_effect_1,0,0.740626116,,0.606606607,,0.300578035,,0.838709677,,150,121,10,52,0.11
LR,400,8,side_effect_1,1,0.724982382,,0.74382716,,0.412371134,,0.606060606,,201,57,26,40,0.23
LR,400,8,side_effect_1,2,0.778850145,,0.744807122,,0.439252336,,0.643835616,,204,60,26,47,0.25
LR,400,8,side_effect_1,3,0.73334655,,0.623906706,,0.25477707,,0.769230769,,174,117,12,40,0.11
LR,400,8,side_effect_1,4,0.745749222,,0.673913043,,0.292307692,,0.745098039,,179,92,13,38,0.16
LR,400,9,side_effect_1,0,0.749927007,,0.725308642,,0.310679612,,0.64,,203,71,18,32,0.25
LR,400,9,side_effect_1,1,0.791518387,,0.747720365,,0.330097087,,0.708333333,,212,69,14,34,0.23
LR,400,9,side_effect_1,2,0.661578471,,0.667664671,,0.322834646,,0.621212121,,182,86,25,41,0.21
LR,400,9,side_effect_1,3,0.76744898,0.733255387,0.633846154,0.690670585,0.392265193,0.3445304,0.8875,0.691480281,135,110,9,71,0.07
LR,400,9,side_effect_1,4,0.735307782,0.039705784,0.677233429,0.074702841,0.311594203,0.063879528,0.716666667,0.118180201,192,95,17,43,0.16
Adaboost,400,0,side_effect_1,0,0.697482342,,0.587349398,,0.292397661,,0.757575758,,145,121,16,50,0.48
Adaboost,400,0,side_effect_1,1,0.697226381,,0.717532468,,0.317307692,,0.673469388,,188,71,16,33,0.49
Adaboost,400,0,side_effect_1,2,0.566036249,,0.750788644,,0.233333333,,0.29787234,,224,46,33,14,0.49
Adaboost,400,0,side_effect_1,3,0.78354717,,0.697058824,,0.401408451,,0.76,,180,85,18,57,0.48
Adaboost,400,0,side_effect_1,4,0.634100683,,0.745856354,,0.333333333,,0.373134328,,245,50,42,25,0.49
Adaboost,400,1,side_effect_1,0,0.689216189,,0.716049383,,0.44,,0.55,,188,56,36,44,0.49
Adaboost,400,1,side_effect_1,1,0.667,,0.704402516,,0.367346939,,0.529411765,,188,62,32,36,0.49
Adaboost,400,1,side_effect_1,2,0.736990596,,0.658682635,,0.2265625,,0.659090909,,191,99,15,29,0.49
Adaboost,400,1,side_effect_1,3,0.723634975,,0.776785714,,0.317073171,,0.577777778,,235,56,19,26,0.49
Adaboost,400,1,side_effect_1,4,0.710047974,,0.622478386,,0.302469136,,0.731343284,,167,113,18,49,0.48
Adaboost,400,2,side_effect_1,0,0.622223586,,0.610619469,,0.23943662,,0.586206897,,173,108,24,34,0.48
Adaboost,400,2,side_effect_1,1,0.573571429,,0.770392749,,0.314814815,,0.303571429,,238,37,39,17,0.5
Adaboost,400,2,side_effect_1,2,0.586477793,,0.627627628,,0.226890756,,0.457627119,,182,92,32,27,0.49
Adaboost,400,2,side_effect_1,3,0.692551639,,0.584848485,,0.302857143,,0.779411765,,140,122,15,53,0.48
Adaboost,400,2,side_effect_1,4,0.639326453,,0.720858896,,0.340909091,,0.476190476,,205,58,33,30,0.49
Adaboost,400,3,side_effect_1,0,0.669466403,,0.578635015,,0.337078652,,0.714285714,,135,118,24,60,0.48
Adaboost,400,3,side_effect_1,1,0.664218329,,0.564564565,,0.229411765,,0.735849057,,149,131,14,39,0.48
Adaboost,400,3,side_effect_1,2,0.65245262,,0.612804878,,0.230215827,,0.615384615,,169,107,20,32,0.48
Adaboost,400,3,side_effect_1,3,0.731369248,,0.776785714,,0.443037975,,0.53030303,,226,44,31,35,0.49
Adaboost,400,3,side_effect_1,4,0.710921325,,0.713846154,,0.270833333,,0.530612245,,206,70,23,26,0.49
Adaboost,400,4,side_effect_1,0,0.676676881,,0.717391304,,0.323529412,,0.6,,198,69,22,33,0.49
Adaboost,400,4,side_effect_1,1,0.723359729,,0.700296736,,0.35,,0.646153846,,194,78,23,42,0.49
Adaboost,400,4,side_effect_1,2,0.690163934,,0.715189873,,0.350515464,,0.557377049,,192,63,27,34,0.49
Adaboost,400,4,side_effect_1,3,0.572921745,,0.541547278,,0.197674419,,0.607142857,,155,138,22,34,0.48
Adaboost,400,4,side_effect_1,4,0.693110938,,0.728358209,,0.375,,0.537313433,,208,60,31,36,0.49
Adaboost,400,5,side_effect_1,0,0.789027284,,0.630498534,,0.308139535,,0.883333333,,162,119,7,53,0.48
Adaboost,400,5,side_effect_1,1,0.629385101,,0.728706625,,0.329113924,,0.440677966,,205,53,33,26,0.49
Adaboost,400,5,side_effect_1,2,0.695690856,,0.678899083,,0.247863248,,0.630434783,,193,88,17,29,0.49
Adaboost,400,5,side_effect_1,3,0.645388949,,0.75625,,0.369230769,,0.393442623,,218,41,37,24,0.49
Adaboost,400,5,side_effect_1,4,0.656772575,,0.813559322,,0.62,,0.397435897,,257,19,47,31,0.5
Adaboost,400,6,side_effect_1,0,0.677862595,,0.718654434,,0.360824742,,0.538461538,,200,62,30,35,0.49
Adaboost,400,6,side_effect_1,1,0.676486671,,0.523364486,,0.230769231,,0.763636364,,126,140,13,42,0.48
Adaboost,400,6,side_effect_1,2,0.718438398,,0.795454545,,0.428571429,,0.540983607,,247,44,28,33,0.49
Adaboost,400,6,side_effect_1,3,0.59067892,,0.69375,,0.290697674,,0.403225806,,197,61,37,25,0.49
Adaboost,400,6,side_effect_1,4,0.647098714,,0.702064897,,0.303921569,,0.508196721,,207,71,30,31,0.49
Adaboost,400,7,side_effect_1,0,0.63138437,,0.767507003,,0.337837838,,0.423728814,,249,49,34,25,0.49
Adaboost,400,7,side_effect_1,1,0.619780031,,0.534161491,,0.271186441,,0.695652174,,124,129,21,48,0.48
Adaboost,400,7,side_effect_1,2,0.648449156,,0.609756098,,0.20979021,,0.666666667,,170,113,15,30,0.48
Adaboost,400,7,side_effect_1,3,0.638151042,,0.708860759,,0.322222222,,0.483333333,,195,61,31,29,0.49
Adaboost,400,7,side_effect_1,4,0.689795376,,0.758928571,,0.441860465,,0.535211268,,217,48,33,38,0.49
Adaboost,400,8,side_effect_1,0,0.628610108,,0.753709199,,0.338028169,,0.4,,230,47,36,24,0.49
Adaboost,400,8,side_effect_1,1,0.711242424,,0.713432836,,0.344827586,,0.666666667,,199,76,20,40,0.49
Adaboost,400,8,side_effect_1,2,0.679680802,,0.797468354,,0.450980392,,0.389830508,,229,28,36,23,0.5
Adaboost,400,8,side_effect_1,3,0.674913287,,0.667682927,,0.26984127,,0.666666667,,185,92,17,34,0.48
Adaboost,400,8,side_effect_1,4,0.728021702,,0.679300292,,0.359375,,0.621621622,,187,82,28,46,0.49
Adaboost,400,9,side_effect_1,0,0.635539654,,0.625386997,,0.284615385,,0.569230769,,165,93,28,37,0.48
Adaboost,400,9,side_effect_1,1,0.646706217,,0.795665635,,0.46,,0.370967742,,234,27,39,23,0.5
Adaboost,400,9,side_effect_1,2,0.622127329,,0.696319018,,0.221052632,,0.456521739,,206,74,25,21,0.49
Adaboost,400,9,side_effect_1,3,0.792823115,0.671572375,0.766763848,0.689347227,0.457142857,0.32602184,0.676056338,0.569848427,215,57,23,48,0.49
Adaboost,400,9,side_effect_1,4,0.700469484,0.05178756,0.610465116,0.074679359,0.279761905,0.081504054,0.783333333,0.136228265,163,121,13,47,0.48
MLP,400,0,side_effect_1,0,0.636769179,,0.645061728,,0.269230769,,0.636363636,,174,95,20,35,0.06
MLP,400,0,side_effect_1,1,0.739620403,,0.671826625,,0.246031746,,0.738095238,,186,95,11,31,0.08
MLP,400,0,side_effect_1,2,0.638730791,,0.653731343,,0.366666667,,0.523809524,,175,76,40,44,0.22
MLP,400,0,side_effect_1,3,0.675958392,,0.727810651,,0.346938776,,0.548387097,,212,64,28,34,0.18
MLP,400,0,side_effect_1,4,0.672249086,,0.678466077,,0.285714286,,0.524590164,,198,80,29,32,0.44
